 s_pro_id,student_id,program_id,program_start,program_end,program_status,grad_date
1,1,13,8/16/2004,5/19/2006,Graduated,6/11/2006
2,19,13,8/19/2002,5/19/2006,Graduated,6/11/2006
3,56,13,8/18/2008,,Terminated,
4,105,13,8/14/2002,,Dropped,
5,109,13,3/17/2005,,Dropped,
6,120,13,8/16/2004,5/19/2006,Graduated,6/11/2006
7,138,13,8/3/2012,,Terminated,
8,141,13,8/18/2003,5/30/2005,Graduated,6/18/2005
9,158,13,1/16/2006,12/14/2007,Graduated,12/14/2007
10,172,13,8/18/2003,5/30/2005,Graduated,6/18/2005
11,189,13,8/18/2008,,Terminated,
12,189,13,1/20/2014,,Terminated,
13,204,13,8/14/2006,12/22/2008,Graduated,12/22/2008
14,227,13,8/18/2003,5/30/2005,Graduated,6/18/2005
15,227,13,8/18/2003,5/30/2005,Graduated,6/18/2005
16,246,13,8/16/2004,5/19/2006,Graduated,6/11/2006
17,265,13,8/17/2009,,Terminated,
18,270,13,8/20/2001,,Dropped,
19,292,13,8/16/2004,5/19/2006,Graduated,6/11/2006
20,310,13,8/20/2001,5/30/2005,Graduated,6/18/2005
21,343,13,8/20/2001,5/30/2005,Graduated,6/18/2005
22,384,13,8/16/2004,12/10/2012,Graduated,1/26/2013
23,408,13,5/18/2010,,Terminated,
24,414,13,8/12/2013,,Terminated,
25,417,13,8/20/2001,,Dropped,
26,437,13,8/20/2001,5/30/2005,Graduated,6/18/2005
27,465,13,8/20/2001,12/11/2004,Graduated,12/11/2004
28,496,13,8/20/2001,,Dropped,
29,498,13,8/20/2001,,Dropped,
30,512,13,8/20/2001,,Dropped,
31,520,13,8/20/2001,5/30/2005,Graduated,6/18/2005
32,555,13,8/1/2022,,In Process,
33,567,13,8/18/2003,5/30/2005,Graduated,6/18/2005
34,584,13,8/19/2002,5/30/2005,Graduated,6/18/2005
35,603,13,8/1/2018,,Terminated,
36,606,13,5/17/2010,,Terminated,
37,606,13,1/1/2019,,Terminated,
38,625,13,8/18/2003,5/18/2007,Graduated,6/9/2007
39,645,13,8/17/2009,7/22/2011,Graduated,1/28/2012
40,665,13,8/20/2003,5/19/2006,Graduated,6/11/2006
41,681,13,8/28/2000,5/10/2002,Graduated,6/2/2002
42,699,13,8/19/2002,5/27/2004,Graduated,6/13/2004
43,716,13,8/28/2000,5/10/2002,Graduated,6/2/2002
44,734,13,8/18/2003,5/30/2005,Graduated,6/18/2005
45,751,13,8/14/2006,,Dropped,
46,754,13,5/30/2011,,Terminated,
47,757,13,8/23/2000,5/10/2003,Graduated,6/8/2003
48,784,13,8/15/2002,,Dropped,
49,803,13,8/20/2001,5/27/2004,Graduated,6/13/2004
50,844,13,8/18/2003,5/30/2005,Graduated,6/18/2005
51,859,13,1/17/2005,,Dropped,
52,859,13,8/15/2011,12/10/2012,Graduated,1/26/2013
53,875,13,6/15/2004,,Dropped,
54,886,13,8/20/2001,12/11/2004,Graduated,12/11/2004
55,904,13,8/23/2001,5/10/2003,Graduated,6/8/2003
56,921,13,1/17/2005,,Dropped,
57,923,13,8/15/2005,5/18/2007,Graduated,6/9/2007
58,944,13,8/13/2007,12/7/2015,Graduated,2/6/2016
59,975,13,8/16/2004,5/26/2009,Graduated,6/20/2009
60,1006,13,8/6/2002,,Dropped,
61,1016,13,8/19/2002,5/18/2015,Graduated,6/13/2015
62,1079,13,8/19/2002,12/8/2005,Graduated,12/8/2005
63,1110,13,8/6/2002,,Dropped,
64,1143,13,8/6/2002,,Dropped,
